Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,240.922,5.516,3141,241,6
nLep_base==2,212.755,5.211,2766,213,5
nLep_signal==2,146.888,4.401,1908,147,4
lep1Flavor == lep2Flavor,126.071,4.177,1517,126,4
lep1Charge != lep2Charge,123.889,4.142,1490,124,4
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),123.125,4.130,1483,123,4
(lep1Author != 16 && lep2Author != 16),122.464,4.124,1472,122,4
met_Et>200,64.157,2.998,764,64.2,3.0
nBJet20_MV2c10 == 0,48.927,2.515,626,48.9,2.5
jetPt[0]>100,44.597,2.390,585,44.6,2.4
DPhiJ1Met > 2.0,44.203,2.383,580,44.2,2.4
minDPhiAllJetsMet > 0.4,39.375,2.269,513,39.4,2.3
(MTauTau < 0 || MTauTau > 160),34.121,2.088,451,34.1,2.1
lep1Pt > 5,34.121,2.088,451,34.1,2.1
mll > 1,34.121,2.088,451,34.1,2.1
(mll < 3 || mll > 3.2),34.121,2.088,451,34.1,2.1
mll < 60,32.468,2.056,421,32.5,2.1
METOverHTLep > max(5.0; 15 - 2*mll),12.494,1.056,193,12.5,1.1
Rll < 2,7.897,0.858,116,7.9,0.9
mt_lep1 < 70,3.447,0.505,61,3.4,0.5
mll < 40,3.051,0.473,54,3.1,0.5
mll < 30,2.116,0.371,41,2.1,0.4
mll < 20,1.296,0.290,25,1.30,0.29
mll < 10,0.430,0.183,8,0.43,0.18
mll < 5,0.066,0.047,2,0.07,0.05
mll < 3,0.000,0.000,0,0.0,0.0
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),19.749,1.443,277,19.7,1.4
mt2leplsp_100 < 130,16.296,1.298,241,16.3,1.3
mt2leplsp_100 < 120,13.509,1.154,208,13.5,1.2
mt2leplsp_100 < 110,7.420,0.748,129,7.4,0.7
mt2leplsp_100 < 105,1.688,0.323,33,1.69,0.32
mt2leplsp_100 < 102,0.283,0.113,7,0.28,0.11
