Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,46.266,0.983,3481,46.3,1.0
nLep_base==2,41.003,0.922,3107,41.0,0.9
nLep_signal==2,41.003,0.922,3107,41.0,0.9
lep1Flavor == lep2Flavor,35.369,0.874,2582,35.4,0.9
lep1Charge != lep2Charge,34.526,0.850,2523,34.5,0.9
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),34.466,0.849,2519,34.5,0.8
(lep1Author != 16 && lep2Author != 16),34.360,0.848,2511,34.4,0.8
met_Et>200,34.360,0.848,2511,34.4,0.8
nBJet20_MV2c10 == 0,27.296,0.724,2115,27.3,0.7
jetPt[0]>100,27.296,0.724,2115,27.3,0.7
DPhiJ1Met > 2.0,27.086,0.717,2102,27.1,0.7
minDPhiAllJetsMet > 0.4,25.506,0.694,1975,25.5,0.7
(MTauTau < 0 || MTauTau > 160),21.617,0.642,1670,21.6,0.6
lep1Pt > 5,21.532,0.641,1662,21.5,0.6
mll > 1,21.376,0.638,1655,21.4,0.6
(mll < 3 || mll > 3.2),21.225,0.636,1642,21.2,0.6
mll < 60,21.225,0.636,1642,21.2,0.6
METOverHTLep > max(5.0; 15 - 2*mll),17.946,0.579,1415,17.9,0.6
Rll < 2,15.631,0.548,1204,15.6,0.5
mt_lep1 < 70,11.050,0.459,876,11.1,0.5
mll < 40,11.019,0.459,873,11.0,0.5
mll < 30,10.925,0.457,865,10.9,0.5
mll < 20,10.689,0.454,841,10.7,0.5
mll < 10,6.561,0.363,491,6.6,0.4
mll < 5,1.518,0.166,117,1.52,0.17
mll < 3,0.323,0.091,26,0.32,0.09
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),20.362,0.627,1561,20.4,0.6
mt2leplsp_100 < 130,19.398,0.612,1497,19.4,0.6
mt2leplsp_100 < 120,17.956,0.589,1396,18.0,0.6
mt2leplsp_100 < 110,12.987,0.492,1041,13.0,0.5
mt2leplsp_100 < 105,6.031,0.333,503,6.03,0.33
mt2leplsp_100 < 102,1.404,0.144,119,1.40,0.14
