Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,67.538,1.391,3837,67.5,1.4
nLep_base==2,63.351,1.350,3605,63.4,1.4
nLep_signal==2,39.277,1.004,2239,39.3,1.0
lep1Flavor == lep2Flavor,36.646,0.982,1984,36.6,1.0
lep1Charge != lep2Charge,35.835,0.970,1946,35.8,1.0
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),35.690,0.966,1942,35.7,1.0
(lep1Author != 16 && lep2Author != 16),35.660,0.966,1940,35.7,1.0
met_Et>200,21.951,0.755,1218,22.0,0.8
nBJet20_MV2c10 == 0,17.616,0.659,1026,17.6,0.7
jetPt[0]>100,17.419,0.651,1019,17.4,0.7
DPhiJ1Met > 2.0,17.271,0.649,1007,17.3,0.6
minDPhiAllJetsMet > 0.4,16.491,0.634,957,16.5,0.6
(MTauTau < 0 || MTauTau > 160),13.977,0.575,817,14.0,0.6
lep1Pt > 5,13.721,0.571,799,13.7,0.6
mll > 1,13.427,0.566,782,13.4,0.6
(mll < 3 || mll > 3.2),12.977,0.556,759,13.0,0.6
mll < 60,12.977,0.556,759,13.0,0.6
METOverHTLep > max(5.0; 15 - 2*mll),11.999,0.534,709,12.0,0.5
Rll < 2,11.348,0.519,640,11.3,0.5
mt_lep1 < 70,9.316,0.466,536,9.3,0.5
mll < 40,9.316,0.466,536,9.3,0.5
mll < 30,9.316,0.466,536,9.3,0.5
mll < 20,9.307,0.466,534,9.3,0.5
mll < 10,9.124,0.463,511,9.1,0.5
mll < 5,4.001,0.305,224,4.00,0.30
mll < 3,1.301,0.162,77,1.30,0.16
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),12.836,0.554,742,12.8,0.6
mt2leplsp_100 < 130,12.538,0.549,727,12.5,0.5
mt2leplsp_100 < 120,11.904,0.530,698,11.9,0.5
mt2leplsp_100 < 110,9.618,0.473,580,9.6,0.5
mt2leplsp_100 < 105,5.561,0.354,362,5.56,0.35
mt2leplsp_100 < 102,1.168,0.157,111,1.17,0.16
