Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,49.330,1.061,3120,49.3,1.1
nLep_base==2,43.905,0.995,2761,43.9,1.0
nLep_signal==2,43.905,0.995,2761,43.9,1.0
lep1Flavor == lep2Flavor,37.435,0.928,2292,37.4,0.9
lep1Charge != lep2Charge,36.529,0.914,2237,36.5,0.9
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),36.490,0.913,2234,36.5,0.9
(lep1Author != 16 && lep2Author != 16),36.254,0.911,2219,36.3,0.9
met_Et>200,36.254,0.911,2219,36.3,0.9
nBJet20_MV2c10 == 0,28.410,0.790,1825,28.4,0.8
jetPt[0]>100,28.410,0.790,1825,28.4,0.8
DPhiJ1Met > 2.0,28.293,0.789,1814,28.3,0.8
minDPhiAllJetsMet > 0.4,25.847,0.756,1643,25.8,0.8
(MTauTau < 0 || MTauTau > 160),22.038,0.706,1395,22.0,0.7
lep1Pt > 5,21.953,0.704,1390,22.0,0.7
mll > 1,21.895,0.704,1385,21.9,0.7
(mll < 3 || mll > 3.2),21.702,0.693,1380,21.7,0.7
mll < 60,21.702,0.693,1380,21.7,0.7
METOverHTLep > max(5.0; 15 - 2*mll),15.768,0.576,1033,15.8,0.6
Rll < 2,12.134,0.497,791,12.1,0.5
mt_lep1 < 70,7.339,0.393,475,7.3,0.4
mll < 40,7.276,0.392,471,7.3,0.4
mll < 30,7.186,0.390,464,7.2,0.4
mll < 20,5.663,0.351,363,5.66,0.35
mll < 10,1.994,0.202,125,1.99,0.20
mll < 5,0.409,0.089,26,0.41,0.09
mll < 3,0.119,0.042,9,0.12,0.04
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),19.233,0.645,1230,19.2,0.6
mt2leplsp_100 < 130,17.623,0.612,1140,17.6,0.6
mt2leplsp_100 < 120,15.755,0.575,1017,15.8,0.6
mt2leplsp_100 < 110,9.736,0.445,648,9.7,0.4
mt2leplsp_100 < 105,3.636,0.258,254,3.64,0.26
mt2leplsp_100 < 102,0.872,0.116,65,0.87,0.12
