Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,112.571,2.254,4624,112.6,2.3
nLep_base==2,102.714,2.173,4214,102.7,2.2
nLep_signal==2,63.825,1.698,2635,63.8,1.7
lep1Flavor == lep2Flavor,57.515,1.635,2266,57.5,1.6
lep1Charge != lep2Charge,56.569,1.624,2230,56.6,1.6
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),56.418,1.623,2224,56.4,1.6
(lep1Author != 16 && lep2Author != 16),56.273,1.622,2218,56.3,1.6
met_Et>200,32.078,1.309,1260,32.1,1.3
nBJet20_MV2c10 == 0,25.388,1.035,1074,25.4,1.0
jetPt[0]>100,24.620,0.997,1051,24.6,1.0
DPhiJ1Met > 2.0,24.435,0.993,1042,24.4,1.0
minDPhiAllJetsMet > 0.4,22.920,0.972,974,22.9,1.0
(MTauTau < 0 || MTauTau > 160),19.791,0.829,856,19.8,0.8
lep1Pt > 5,19.674,0.828,851,19.7,0.8
mll > 1,19.505,0.824,846,19.5,0.8
(mll < 3 || mll > 3.2),19.345,0.821,840,19.3,0.8
mll < 60,19.345,0.821,840,19.3,0.8
METOverHTLep > max(5.0; 15 - 2*mll),15.594,0.704,707,15.6,0.7
Rll < 2,13.242,0.664,578,13.2,0.7
mt_lep1 < 70,8.800,0.496,403,8.8,0.5
mll < 40,8.800,0.496,403,8.8,0.5
mll < 30,8.800,0.496,403,8.8,0.5
mll < 20,8.718,0.495,397,8.7,0.5
mll < 10,4.131,0.345,181,4.13,0.35
mll < 5,0.929,0.156,43,0.93,0.16
mll < 3,0.205,0.074,10,0.20,0.07
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),18.406,0.805,792,18.4,0.8
mt2leplsp_100 < 130,17.287,0.781,750,17.3,0.8
mt2leplsp_100 < 120,15.257,0.694,685,15.3,0.7
mt2leplsp_100 < 110,9.874,0.514,475,9.9,0.5
mt2leplsp_100 < 105,4.236,0.317,231,4.24,0.32
mt2leplsp_100 < 102,1.410,0.191,75,1.41,0.19
