Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,22.164,0.540,2500,22.2,0.5
nLep_base==2,18.108,0.495,2029,18.1,0.5
nLep_signal==2,18.108,0.495,2029,18.1,0.5
lep1Flavor == lep2Flavor,12.561,0.423,1392,12.6,0.4
lep1Charge != lep2Charge,10.881,0.390,1205,10.9,0.4
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),10.782,0.389,1192,10.8,0.4
(lep1Author != 16 && lep2Author != 16),10.760,0.389,1189,10.8,0.4
met_Et>200,10.760,0.389,1189,10.8,0.4
nBJet20_MV2c10 == 0,3.746,0.200,477,3.75,0.20
jetPt[0]>100,3.746,0.200,477,3.75,0.20
DPhiJ1Met > 2.0,3.590,0.197,455,3.59,0.20
minDPhiAllJetsMet > 0.4,3.067,0.184,383,3.07,0.18
(MTauTau < 0 || MTauTau > 160),2.727,0.173,340,2.73,0.17
lep1Pt > 5,2.727,0.173,340,2.73,0.17
mll > 1,2.720,0.173,339,2.72,0.17
(mll < 3 || mll > 3.2),2.706,0.173,337,2.71,0.17
mll < 60,2.706,0.173,337,2.71,0.17
METOverHTLep > max(5.0; 15 - 2*mll),1.847,0.143,235,1.85,0.14
Rll < 2,1.469,0.118,194,1.47,0.12
mt_lep1 < 70,0.640,0.077,85,0.64,0.08
mll < 40,0.626,0.077,83,0.63,0.08
mll < 30,0.590,0.075,78,0.59,0.07
mll < 20,0.561,0.074,73,0.56,0.07
mll < 10,0.330,0.060,41,0.33,0.06
mll < 5,0.071,0.028,8,0.071,0.028
mll < 3,0.045,0.025,4,0.045,0.025
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),2.132,0.155,269,2.13,0.15
mt2leplsp_100 < 130,1.805,0.145,225,1.81,0.15
mt2leplsp_100 < 120,1.550,0.137,191,1.55,0.14
mt2leplsp_100 < 110,1.014,0.120,116,1.01,0.12
mt2leplsp_100 < 105,0.422,0.070,48,0.42,0.07
mt2leplsp_100 < 102,0.050,0.018,8,0.050,0.018
