Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,47.139,1.002,3287,47.1,1.0
nLep_base==2,41.333,0.943,2886,41.3,0.9
nLep_signal==2,41.333,0.943,2886,41.3,0.9
lep1Flavor == lep2Flavor,35.677,0.890,2415,35.7,0.9
lep1Charge != lep2Charge,34.787,0.872,2367,34.8,0.9
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),34.608,0.871,2354,34.6,0.9
(lep1Author != 16 && lep2Author != 16),34.457,0.869,2342,34.5,0.9
met_Et>200,34.457,0.869,2342,34.5,0.9
nBJet20_MV2c10 == 0,27.176,0.739,1975,27.2,0.7
jetPt[0]>100,27.176,0.739,1975,27.2,0.7
DPhiJ1Met > 2.0,26.991,0.733,1964,27.0,0.7
minDPhiAllJetsMet > 0.4,25.158,0.713,1816,25.2,0.7
(MTauTau < 0 || MTauTau > 160),21.306,0.663,1533,21.3,0.7
lep1Pt > 5,21.146,0.654,1527,21.1,0.7
mll > 1,21.055,0.652,1521,21.1,0.7
(mll < 3 || mll > 3.2),20.943,0.651,1512,20.9,0.7
mll < 60,20.943,0.651,1512,20.9,0.7
METOverHTLep > max(5.0; 15 - 2*mll),16.838,0.571,1250,16.8,0.6
Rll < 2,13.944,0.521,1016,13.9,0.5
mt_lep1 < 70,8.923,0.397,677,8.9,0.4
mll < 40,8.904,0.396,675,8.9,0.4
mll < 30,8.863,0.396,670,8.9,0.4
mll < 20,8.393,0.382,631,8.4,0.4
mll < 10,3.435,0.256,258,3.43,0.26
mll < 5,0.815,0.154,53,0.82,0.15
mll < 3,0.230,0.065,16,0.23,0.07
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),19.547,0.633,1406,19.5,0.6
mt2leplsp_100 < 130,18.150,0.607,1315,18.2,0.6
mt2leplsp_100 < 120,16.742,0.584,1219,16.7,0.6
mt2leplsp_100 < 110,11.386,0.472,851,11.4,0.5
mt2leplsp_100 < 105,4.822,0.321,369,4.82,0.32
mt2leplsp_100 < 102,1.108,0.161,85,1.11,0.16
