Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,196.275,8.256,1262,196,8
nLep_base==2,156.197,7.826,975,156,8
nLep_signal==2,156.197,7.826,975,156,8
lep1Flavor == lep2Flavor,99.543,7.061,598,100,7
lep1Charge != lep2Charge,78.980,4.557,503,79,5
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),77.747,4.538,493,78,5
(lep1Author != 16 && lep2Author != 16),76.996,4.528,487,77,5
met_Et>200,76.996,4.528,487,77,5
nBJet20_MV2c10 == 0,31.479,2.383,234,31.5,2.4
jetPt[0]>100,31.479,2.383,234,31.5,2.4
DPhiJ1Met > 2.0,30.294,2.355,223,30.3,2.4
minDPhiAllJetsMet > 0.4,25.933,2.229,188,25.9,2.2
(MTauTau < 0 || MTauTau > 160),21.631,2.026,161,21.6,2.0
lep1Pt > 5,21.631,2.026,161,21.6,2.0
mll > 1,21.631,2.026,161,21.6,2.0
(mll < 3 || mll > 3.2),21.631,2.026,161,21.6,2.0
mll < 60,21.631,2.026,161,21.6,2.0
METOverHTLep > max(5.0; 15 - 2*mll),9.923,1.541,71,9.9,1.5
Rll < 2,6.685,1.004,51,6.7,1.0
mt_lep1 < 70,2.548,0.591,21,2.5,0.6
mll < 40,2.548,0.591,21,2.5,0.6
mll < 30,1.921,0.532,15,1.9,0.5
mll < 20,0.655,0.269,6,0.66,0.27
mll < 10,0.127,0.127,1,0.13,0.13
mll < 5,0.000,0.000,0,0.0,0.0
mll < 3,0.000,0.000,0,0.0,0.0
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),16.241,1.572,123,16.2,1.6
mt2leplsp_100 < 130,12.547,1.363,98,12.5,1.4
mt2leplsp_100 < 120,9.427,1.181,74,9.4,1.2
mt2leplsp_100 < 110,6.728,1.035,50,6.7,1.0
mt2leplsp_100 < 105,1.483,0.456,12,1.5,0.5
mt2leplsp_100 < 102,0.256,0.256,1,0.26,0.26
