Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,205.451,7.779,968,205,8
nLep_base==2,158.310,6.902,741,158,7
nLep_signal==2,158.310,6.902,741,158,7
lep1Flavor == lep2Flavor,93.694,5.127,445,94,5
lep1Charge != lep2Charge,78.461,4.754,369,78,5
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),77.904,4.743,366,78,5
(lep1Author != 16 && lep2Author != 16),77.448,4.731,364,77,5
met_Et>200,77.448,4.731,364,77,5
nBJet20_MV2c10 == 0,38.008,3.284,194,38.0,3.3
jetPt[0]>100,38.008,3.284,194,38.0,3.3
DPhiJ1Met > 2.0,37.272,3.263,190,37.3,3.3
minDPhiAllJetsMet > 0.4,30.719,3.058,153,30.7,3.1
(MTauTau < 0 || MTauTau > 160),26.210,2.907,128,26.2,2.9
lep1Pt > 5,26.210,2.907,128,26.2,2.9
mll > 1,26.210,2.907,128,26.2,2.9
(mll < 3 || mll > 3.2),26.210,2.907,128,26.2,2.9
mll < 60,26.210,2.907,128,26.2,2.9
METOverHTLep > max(5.0; 15 - 2*mll),12.377,2.211,60,12.4,2.2
Rll < 2,6.535,1.316,34,6.5,1.3
mt_lep1 < 70,2.729,0.758,14,2.7,0.8
mll < 40,2.729,0.758,14,2.7,0.8
mll < 30,2.199,0.692,11,2.2,0.7
mll < 20,1.435,0.514,8,1.4,0.5
mll < 10,0.556,0.325,3,0.56,0.33
mll < 5,0.000,0.000,0,0.0,0.0
mll < 3,0.000,0.000,0,0.0,0.0
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),17.821,2.154,91,17.8,2.2
mt2leplsp_100 < 130,15.347,2.056,76,15.3,2.1
mt2leplsp_100 < 120,13.012,1.953,62,13.0,2.0
mt2leplsp_100 < 110,6.625,1.363,33,6.6,1.4
mt2leplsp_100 < 105,1.386,0.500,8,1.4,0.5
mt2leplsp_100 < 102,0.169,0.169,1,0.17,0.17
