Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,41.230,0.993,2471,41.2,1.0
FS != 206 && FS != 207,41.230,0.993,2471,41.2,1.0
nLep_base==2,33.132,0.881,1993,33.1,0.9
nLep_signal==2,33.132,0.881,1993,33.1,0.9
lep1Flavor == lep2Flavor,22.662,0.718,1383,22.7,0.7
lep1Charge != lep2Charge,19.359,0.654,1194,19.4,0.7
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),19.094,0.651,1174,19.1,0.7
(lep1Author != 16 && lep2Author != 16),18.979,0.649,1168,19.0,0.6
met_Et>200,18.979,0.649,1168,19.0,0.6
nBJet20_MV2c10 == 0,6.768,0.364,470,6.8,0.4
jetPt[0]>100,6.768,0.364,470,6.8,0.4
DPhiJ1Met > 2.0,6.484,0.356,453,6.5,0.4
minDPhiAllJetsMet > 0.4,5.467,0.330,379,5.47,0.33
(MTauTau < 0 || MTauTau > 160),4.775,0.303,333,4.77,0.30
lep1Pt > 5,4.775,0.303,333,4.77,0.30
mll > 1,4.764,0.303,332,4.76,0.30
(mll < 3 || mll > 3.2),4.764,0.303,332,4.76,0.30
mll < 60,4.764,0.303,332,4.76,0.30
Rll > 0.05,4.764,0.303,332,4.76,0.30
METOverHTLep > max(5.0; 15 - 2*mll),3.050,0.223,226,3.05,0.22
Rll < 2,2.554,0.202,192,2.55,0.20
mt_lep1 < 70,1.212,0.133,95,1.21,0.13
mll < 40,1.172,0.131,92,1.17,0.13
mll < 30,1.143,0.130,89,1.14,0.13
mll < 20,1.036,0.123,82,1.04,0.12
mll < 10,0.382,0.070,32,0.38,0.07
mll < 5,0.070,0.029,6,0.070,0.029
mll < 3,0.012,0.012,1,0.012,0.012
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),3.929,0.277,279,3.93,0.28
mt2leplsp_100 < 130,3.255,0.240,233,3.25,0.24
mt2leplsp_100 < 120,2.757,0.224,197,2.76,0.22
mt2leplsp_100 < 110,1.641,0.177,120,1.64,0.18
mt2leplsp_100 < 105,0.651,0.101,49,0.65,0.10
mt2leplsp_100 < 102,0.117,0.052,6,0.12,0.05
