Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,52.115,1.306,2378,52.1,1.3
nLep_base==2,47.173,1.240,2138,47.2,1.2
nLep_signal==2,47.173,1.240,2138,47.2,1.2
lep1Flavor == lep2Flavor,39.814,1.155,1780,39.8,1.2
lep1Charge != lep2Charge,39.453,1.151,1762,39.5,1.2
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),39.274,1.149,1753,39.3,1.1
(lep1Author != 16 && lep2Author != 16),38.934,1.143,1741,38.9,1.1
met_Et>200,38.934,1.143,1741,38.9,1.1
nBJet20_MV2c10 == 0,30.565,0.975,1453,30.6,1.0
jetPt[0]>100,30.565,0.975,1453,30.6,1.0
DPhiJ1Met > 2.0,30.266,0.970,1441,30.3,1.0
minDPhiAllJetsMet > 0.4,27.037,0.912,1287,27.0,0.9
(MTauTau < 0 || MTauTau > 160),23.758,0.857,1130,23.8,0.9
lep1Pt > 5,23.758,0.857,1130,23.8,0.9
mll > 1,23.758,0.857,1130,23.8,0.9
(mll < 3 || mll > 3.2),23.758,0.857,1130,23.8,0.9
mll < 60,23.758,0.857,1130,23.8,0.9
METOverHTLep > max(5.0; 15 - 2*mll),13.740,0.659,664,13.7,0.7
Rll < 2,9.033,0.530,432,9.0,0.5
mt_lep1 < 70,4.516,0.361,216,4.5,0.4
mll < 40,4.366,0.355,210,4.37,0.36
mll < 30,3.910,0.340,184,3.91,0.34
mll < 20,2.520,0.274,118,2.52,0.27
mll < 10,0.591,0.118,31,0.59,0.12
mll < 5,0.069,0.032,5,0.069,0.032
mll < 3,0.034,0.020,3,0.034,0.020
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),18.128,0.771,850,18.1,0.8
mt2leplsp_100 < 130,15.964,0.715,757,16.0,0.7
mt2leplsp_100 < 120,13.860,0.671,657,13.9,0.7
mt2leplsp_100 < 110,7.811,0.485,375,7.8,0.5
mt2leplsp_100 < 105,2.532,0.278,119,2.53,0.28
mt2leplsp_100 < 102,0.504,0.110,26,0.50,0.11
