Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,38.801,1.363,1631,38.8,1.4
FS != 206 && FS != 207,38.801,1.363,1631,38.8,1.4
nLep_base==2,35.127,1.317,1474,35.1,1.3
nLep_signal==2,35.127,1.317,1474,35.1,1.3
lep1Flavor == lep2Flavor,31.664,1.280,1261,31.7,1.3
lep1Charge != lep2Charge,31.252,1.277,1240,31.3,1.3
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),31.198,1.276,1238,31.2,1.3
(lep1Author != 16 && lep2Author != 16),31.084,1.275,1233,31.1,1.3
met_Et>200,31.084,1.275,1233,31.1,1.3
nBJet20_MV2c10 == 0,24.614,0.997,1051,24.6,1.0
jetPt[0]>100,24.614,0.997,1051,24.6,1.0
DPhiJ1Met > 2.0,24.424,0.993,1042,24.4,1.0
minDPhiAllJetsMet > 0.4,22.908,0.972,974,22.9,1.0
(MTauTau < 0 || MTauTau > 160),19.780,0.829,856,19.8,0.8
lep1Pt > 5,19.663,0.827,851,19.7,0.8
mll > 1,19.494,0.823,846,19.5,0.8
(mll < 3 || mll > 3.2),19.335,0.820,840,19.3,0.8
mll < 60,19.335,0.820,840,19.3,0.8
Rll > 0.05,19.307,0.820,839,19.3,0.8
METOverHTLep > max(5.0; 15 - 2*mll),15.581,0.703,707,15.6,0.7
Rll < 2,13.229,0.663,578,13.2,0.7
mt_lep1 < 70,8.788,0.495,403,8.8,0.5
mll < 40,8.788,0.495,403,8.8,0.5
mll < 30,8.788,0.495,403,8.8,0.5
mll < 20,8.707,0.494,397,8.7,0.5
mll < 10,4.126,0.345,181,4.13,0.34
mll < 5,0.925,0.156,43,0.92,0.16
mll < 3,0.204,0.074,10,0.20,0.07
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),18.370,0.804,791,18.4,0.8
mt2leplsp_100 < 130,17.251,0.780,749,17.3,0.8
mt2leplsp_100 < 120,15.222,0.693,684,15.2,0.7
mt2leplsp_100 < 110,9.865,0.514,475,9.9,0.5
mt2leplsp_100 < 105,4.234,0.318,231,4.23,0.32
mt2leplsp_100 < 102,1.413,0.193,75,1.41,0.19
