Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,50.577,1.209,2673,50.6,1.2
nLep_base==2,44.318,1.135,2339,44.3,1.1
nLep_signal==2,44.318,1.135,2339,44.3,1.1
lep1Flavor == lep2Flavor,37.528,1.061,1932,37.5,1.1
lep1Charge != lep2Charge,36.898,1.047,1905,36.9,1.0
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),36.776,1.045,1899,36.8,1.0
(lep1Author != 16 && lep2Author != 16),36.526,1.037,1889,36.5,1.0
met_Et>200,36.526,1.037,1889,36.5,1.0
nBJet20_MV2c10 == 0,28.655,0.882,1583,28.7,0.9
jetPt[0]>100,28.655,0.882,1583,28.7,0.9
DPhiJ1Met > 2.0,28.446,0.880,1569,28.4,0.9
minDPhiAllJetsMet > 0.4,25.533,0.845,1392,25.5,0.8
(MTauTau < 0 || MTauTau > 160),21.819,0.795,1178,21.8,0.8
lep1Pt > 5,21.819,0.795,1178,21.8,0.8
mll > 1,21.778,0.795,1176,21.8,0.8
(mll < 3 || mll > 3.2),21.731,0.794,1174,21.7,0.8
mll < 60,21.731,0.794,1174,21.7,0.8
METOverHTLep > max(5.0; 15 - 2*mll),13.782,0.633,745,13.8,0.6
Rll < 2,10.069,0.556,539,10.1,0.6
mt_lep1 < 70,4.982,0.356,295,5.0,0.4
mll < 40,4.876,0.352,289,4.88,0.35
mll < 30,4.452,0.338,265,4.45,0.34
mll < 20,3.016,0.293,175,3.02,0.29
mll < 10,0.982,0.217,48,0.98,0.22
mll < 5,0.235,0.076,11,0.24,0.08
mll < 3,0.078,0.047,3,0.08,0.05
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),17.266,0.696,943,17.3,0.7
mt2leplsp_100 < 130,15.204,0.640,850,15.2,0.6
mt2leplsp_100 < 120,13.356,0.594,755,13.4,0.6
mt2leplsp_100 < 110,7.892,0.468,446,7.9,0.5
mt2leplsp_100 < 105,2.507,0.220,151,2.51,0.22
mt2leplsp_100 < 102,0.630,0.109,38,0.63,0.11
