Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,25.563,0.802,1489,25.6,0.8
FS != 206 && FS != 207,25.563,0.802,1489,25.6,0.8
nLep_base==2,23.819,0.773,1394,23.8,0.8
nLep_signal==2,23.819,0.773,1394,23.8,0.8
lep1Flavor == lep2Flavor,22.134,0.753,1231,22.1,0.8
lep1Charge != lep2Charge,21.801,0.747,1214,21.8,0.7
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),21.754,0.746,1212,21.8,0.7
(lep1Author != 16 && lep2Author != 16),21.724,0.746,1210,21.7,0.7
met_Et>200,21.724,0.746,1210,21.7,0.7
nBJet20_MV2c10 == 0,17.408,0.650,1019,17.4,0.6
jetPt[0]>100,17.408,0.650,1019,17.4,0.6
DPhiJ1Met > 2.0,17.259,0.648,1007,17.3,0.6
minDPhiAllJetsMet > 0.4,16.481,0.633,957,16.5,0.6
(MTauTau < 0 || MTauTau > 160),13.978,0.575,817,14.0,0.6
lep1Pt > 5,13.721,0.571,799,13.7,0.6
mll > 1,13.429,0.566,782,13.4,0.6
(mll < 3 || mll > 3.2),12.975,0.555,759,13.0,0.6
mll < 60,12.975,0.555,759,13.0,0.6
Rll > 0.05,12.926,0.554,756,12.9,0.6
METOverHTLep > max(5.0; 15 - 2*mll),11.998,0.533,709,12.0,0.5
Rll < 2,11.349,0.519,640,11.3,0.5
mt_lep1 < 70,9.317,0.466,536,9.3,0.5
mll < 40,9.317,0.466,536,9.3,0.5
mll < 30,9.317,0.466,536,9.3,0.5
mll < 20,9.308,0.466,534,9.3,0.5
mll < 10,9.125,0.463,511,9.1,0.5
mll < 5,4.001,0.305,224,4.00,0.30
mll < 3,1.301,0.162,77,1.30,0.16
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),12.785,0.553,739,12.8,0.6
mt2leplsp_100 < 130,12.488,0.547,724,12.5,0.5
mt2leplsp_100 < 120,11.870,0.529,696,11.9,0.5
mt2leplsp_100 < 110,9.617,0.473,580,9.6,0.5
mt2leplsp_100 < 105,5.562,0.354,362,5.56,0.35
mt2leplsp_100 < 102,1.166,0.156,111,1.17,0.16
